Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
2,power.motor,power.motor
2,geometry.fan,geometry.fan
2,power.fan,power.fan
3,material.nozzle,rot.speed.fan
3,material.body,power.fan
3,material.heater,material.heater
4,power.heater,geometry.fan
4,temperature.motor,rot.speed.fan
4,temperature.nozzle,rot.speed.fan
4,material.fan,material.fan
4,geometry.nozzle,power.fan
4,material.body,material.nozzle
5,temperature.heater,temperature.motor
5,temperature.heater,power.fan
5,power.heater,material.nozzle
5,geometry.body,material.nozzle
5,temperature.heater,material.body
6,geometry.nozzle,temperature.motor
6,temperature.nozzle,material.heater
6,temperature.nozzle,temperature.heater
6,geometry.heater,material.body
6,geometry.nozzle,material.body
7,material.motor,material.motor
7,geometry.motor,temperature.motor
7,material.fan,geometry.fan
7,power.fan,geometry.fan
7,geometry.heater,geometry.fan
7,geometry.nozzle,geometry.fan
7,material.body,rot.speed.fan
7,material.body,material.heater
7,geometry.body,temperature.heater
7,temperature.nozzle,material.nozzle
