Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,geometry.fan,geometry.fan,
0.0,material.fan,material.fan,
0.0,power.fan,power.fan,
1.0,material.heater,material.heater,
1.0,temperature.heater,temperature.heater,
2.0,temperature.motor,temperature.motor,
2.0,geometry.motor,geometry.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.body,power.fan,
2.0,temperature.motor,temperature.heater,
3.0,power.heater,power.fan,
3.0,geometry.body,temperature.heater,
4.0,material.motor,material.motor,
4.0,geometry.nozzle,temperature.motor,
4.0,geometry.fan,power.fan,
4.0,geometry.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,temperature.nozzle,material.heater,
4.0,material.nozzle,power.heater,
4.0,temperature.heater,material.body,
4.0,geometry.nozzle,material.body,
4.0,temperature.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
